X,Y,Slice,DX,DY,Orientation,Coherency,Energy
12,12,0,-0.714,-0.700,-44.443,2.800E-34,5.483E-44
32,12,0,-0.718,-0.696,-44.080,2.422E-32,4.614E-42
52,12,0,-0.723,-0.691,-43.734,2.046E-30,3.801E-40
72,12,0,-0.727,-0.687,-43.385,1.678E-28,3.044E-38
92,12,0,-0.731,-0.682,-43.027,1.329E-26,2.362E-36
112,12,0,-0.735,-0.678,-42.656,1.011E-24,1.769E-34
132,12,0,-0.740,-0.672,-42.259,7.347E-23,1.272E-32
152,12,0,-0.745,-0.667,-41.819,5.049E-21,8.743E-31
172,12,0,-0.751,-0.660,-41.302,3.246E-19,5.698E-29
192,12,0,-0.759,-0.651,-40.645,1.922E-17,3.494E-27
212,12,0,-0.769,-0.639,-39.716,1.024E-15,1.995E-25
232,12,0,-0.786,-0.618,-38.200,4.737E-14,1.048E-23
252,12,0,-0.817,-0.575,-35.146,1.783E-12,4.999E-22
272,12,0,-0.892,-0.442,-26.383,4.858E-11,2.135E-20
292,12,0,-0.977,0.035,2.079,1.462E-9,8.082E-19
312,12,0,-0.884,0.462,27.599,1.049E-7,2.711E-17
332,12,0,-0.828,0.561,34.118,5.174E-6,8.060E-16
352,12,0,-0.819,0.574,35.045,1.628E-4,2.046E-14
372,12,0,-0.836,0.549,33.275,0.003,3.955E-13
392,12,0,-0.878,0.477,28.494,0.028,4.964E-12
412,12,0,-0.949,0.307,17.914,0.091,3.409E-11
432,12,0,-0.996,0.044,2.502,0.181,1.106E-10
452,12,0,-0.982,-0.181,-10.443,0.308,1.589E-10
472,12,0,-0.944,-0.328,-19.142,0.363,1.026E-10
492,12,0,-0.932,-0.361,-21.153,0.237,3.545E-11
512,12,0,-0.990,-0.124,-7.130,0.133,1.462E-11
532,12,0,-0.987,-0.151,-8.694,0.121,9.515E-12
552,12,0,-0.956,-0.291,-16.942,0.061,3.748E-12
572,12,0,-0.948,-0.317,-18.480,0.013,9.026E-13
592,12,0,-0.981,-0.192,-11.079,0.002,1.896E-13
612,12,0,-0.984,-0.177,-10.203,2.084E-4,2.921E-14
632,12,0,-0.965,-0.261,-15.161,1.795E-5,2.671E-15
652,12,0,-0.941,-0.337,-19.707,1.671E-6,1.806E-16
672,12,0,-0.904,-0.427,-25.289,1.903E-7,1.320E-17
692,12,0,-0.863,-0.505,-30.343,1.678E-8,9.661E-19
712,12,0,-0.830,-0.557,-33.875,1.024E-9,5.637E-20
732,12,0,-0.803,-0.596,-36.604,4.685E-11,2.679E-21
752,12,0,-0.769,-0.639,-39.733,1.785E-12,1.146E-22
772,12,0,-0.727,-0.686,-43.333,6.003E-14,4.391E-24
792,12,0,-0.686,-0.727,-46.647,1.791E-15,1.433E-25
812,12,0,-0.652,-0.758,-49.266,4.696E-17,3.946E-27
832,12,0,-0.626,-0.780,-51.218,1.085E-18,9.330E-29
852,12,0,-0.606,-0.795,-52.663,2.234E-20,1.941E-30
872,12,0,-0.591,-0.806,-53.749,4.165E-22,3.630E-32
892,12,0,-0.580,-0.815,-54.582,7.138E-24,6.221E-34
912,12,0,-0.570,-0.822,-55.236,1.139E-25,9.906E-36
932,12,0,-0.563,-0.827,-55.761,1.708E-27,1.483E-37
952,12,0,-0.556,-0.831,-56.190,2.433E-29,2.106E-39
972,12,0,-0.551,-0.834,-56.545,3.310E-31,2.858E-41
992,12,0,-0.547,-0.837,-56.845,4.330E-33,3.728E-43
1012,12,0,-0.543,-0.840,-57.104,5.506E-35,4.728E-45
1032,12,0,-0.954,-0.084,-5.036,4.366E-37,3.742E-47
12,32,0,-0.703,-0.711,-45.302,1.731E-32,3.449E-42
32,32,0,-0.709,-0.705,-44.866,1.507E-30,2.893E-40
52,32,0,-0.714,-0.700,-44.462,1.282E-28,2.374E-38
72,32,0,-0.719,-0.695,-44.067,1.058E-26,1.893E-36
